gameId,homeMarket,awayMarket,secsIntoGame,teamMarket,actionType,subType,success,side,shotDist,zones6,zones13,season,team,Year,conf,similar_team,half,primary_side,side_mismatch
1992070,A&M-Corpus Christi,Northwestern St.,189.0,Northwestern St.,3pt,jumpshot,False,RIGHT,26.079,atb3,tok3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,216.0,Northwestern St.,2pt,jumpshot,True,RIGHT,18.706,mid2,rb2,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,340.0,Northwestern St.,3pt,jumpshot,False,RIGHT,24.573,atb3,lw3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,404.0,Northwestern St.,3pt,jumpshot,False,RIGHT,24.294,atb3,lw3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,473.0,Northwestern St.,2pt,jumpshot,True,RIGHT,17.647,mid2,rb2,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,510.0,Northwestern St.,2pt,jumpshot,True,RIGHT,8.158,mid2,lb2,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,571.0,Northwestern St.,2pt,jumpshot,False,RIGHT,13.565,paint2,paint2,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,625.0,Northwestern St.,3pt,jumpshot,False,RIGHT,25.357,atb3,tok3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,656.0,Northwestern St.,3pt,jumpshot,False,RIGHT,23.6,atb3,lw3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
1992070,A&M-Corpus Christi,Northwestern St.,718.0,Northwestern St.,3pt,jumpshot,True,RIGHT,23.243,atb3,lw3,2022,A&M-Corpus Christi,2022,Slnd,Nicholls,1,RIGHT,False
