gameId,homeMarket,awayMarket,secsIntoGame,teamMarket,actionType,subType,success,side,shotDist,zones6,zones13,season,team,Year,conf,similar_team,half,primary_side,side_mismatch
2529411,Cal Poly,CSU Bakersfield,1862.0,CSU Bakersfield,2pt,jumpshot,True,RIGHT,14.602,mid2,lb2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,1985.0,CSU Bakersfield,2pt,jumpshot,False,RIGHT,5.638,paint2,paint2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,2096.0,CSU Bakersfield,3pt,jumpshot,False,RIGHT,23.555,c3,lc3,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,2168.0,CSU Bakersfield,2pt,jumpshot,True,RIGHT,13.497,mid2,lb2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,2187.0,CSU Bakersfield,2pt,jumpshot,False,RIGHT,6.629,paint2,paint2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,2207.0,CSU Bakersfield,2pt,jumpshot,False,RIGHT,2.128,atr2,atr2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2529411,Cal Poly,CSU Bakersfield,2242.0,CSU Bakersfield,2pt,jumpshot,False,RIGHT,13.158,paint2,paint2,2025,Cal Poly,2025,BW,UC Riverside,2,RIGHT,False
2531554,UC Davis,UC Irvine,17.0,UC Irvine,2pt,jumpshot,False,RIGHT,16.16,mid2,rb2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,66.0,UC Irvine,2pt,turnaroundjumpshot,False,RIGHT,10.98,mid2,lb2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,91.0,UC Irvine,3pt,jumpshot,False,RIGHT,22.804,atb3,tok3,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,125.0,UC Irvine,3pt,jumpshot,True,RIGHT,23.362,atb3,lw3,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,254.0,UC Irvine,2pt,jumpshot,True,RIGHT,19.982,mid2,re2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,505.0,UC Irvine,2pt,jumpshot,True,RIGHT,17.804,mid2,re2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,639.0,UC Irvine,3pt,jumpshot,False,RIGHT,24.722,atb3,rw3,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,726.0,UC Irvine,2pt,floatingjumpshot,True,RIGHT,5.121,paint2,paint2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,876.0,UC Irvine,3pt,jumpshot,True,RIGHT,24.095,atb3,lw3,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,1024.0,UC Irvine,3pt,jumpshot,True,RIGHT,23.76,atb3,tok3,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,1147.8,UC Irvine,2pt,floatingjumpshot,False,RIGHT,11.635,paint2,paint2,2025,UC Davis,2025,BW,CSUN,1,RIGHT,False
2531554,UC Davis,UC Irvine,1278.0,UC Irvine,3pt,jumpshot,True,LEFT,26.403,atb3,lw3,2025,UC Davis,2025,BW,CSUN,2,LEFT,False
2531554,UC Davis,UC Irvine,1572.0,UC Irvine,2pt,jumpshot,False,LEFT,17.499,mid2,rb2,2025,UC Davis,2025,BW,CSUN,2,LEFT,False
2531554,UC Davis,UC Irvine,1746.0,UC Irvine,3pt,jumpshot,False,LEFT,23.787,atb3,tok3,2025,UC Davis,2025,BW,CSUN,2,LEFT,False
2531554,UC Davis,UC Irvine,1772.0,UC Irvine,3pt,jumpshot,False,LEFT,23.003,c3,rc3,2025,UC Davis,2025,BW,CSUN,2,LEFT,False
2531554,UC Davis,UC Irvine,2125.0,UC Irvine,3pt,jumpshot,True,LEFT,23.842,atb3,rw3,2025,UC Davis,2025,BW,CSUN,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,104.0,Hawaii,3pt,jumpshot,False,RIGHT,23.145,atb3,tok3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,233.0,Hawaii,2pt,pullupjumpshot,False,RIGHT,20.132,mid2,re2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
