G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
1,Tue Nov 7 2023,8:30p,REG,,Southwestern Adventist,,,W,111,46,,1,0,W 1,Dugan Wellness Center
2,Sat Nov 11 2023,1:30p,REG,@,Houston(7),Big 12,25.69,L,50,82,,1,1,L 1,Fertitta Center
3,Mon Nov 13 2023,8:30p,REG,,Dallas Christian,,,W,104,45,,2,1,W 1,Dugan Wellness Center
4,Thu Nov 16 2023,8:00p,REG,@,Texas Tech,Big 12,14.96,L,64,73,,2,2,L 1,United Supermarkets Arena
5,Wed Nov 22 2023,6:00p,REG,@,Northern Kentucky,Horizon,-3.66,L,73,88,,2,3,L 2,Truist Arena
6,Fri Nov 24 2023,2:00p,REG,N,Long Island University,NEC,-17.86,L,68,83,,2,4,L 3,Truist Arena
7,Wed Nov 29 2023,9:00p,REG,@,UTEP,CUSA,-1.49,W,67,63,,3,4,W 1,Don Haskins Center
8,Wed Dec 6 2023,8:00p,REG,,Texas-Rio Grande Valley,WAC,-13.39,L,74,76,,3,5,L 1,American Bank Center
9,Sat Dec 9 2023,4:30p,REG,,Omaha,Summit,-7.38,W,62,58,,4,5,W 1,American Bank Center
10,Fri Dec 15 2023,7:30p,REG,@,Texas-Rio Grande Valley,WAC,-13.39,W,86,76,,5,5,W 2,UTRGV Fieldhouse
11,Mon Dec 18 2023,12:00p,REG,,Texas Lutheran,,,W,102,50,,6,5,W 3,Dugan Wellness Center
12,Fri Dec 22 2023,3:00p,REG,@,Texas(19),Big 12,15.91,L,55,71,,6,6,L 1,Moody Center
13,Sat Dec 30 2023,4:30p,REG,,Schreiner,,,W,84,61,,7,6,W 1,Dugan Wellness Center
14,Sat Jan 6 2024,6:00p,REG,@,Incarnate Word,Southland,-16.40,W,75,65,,8,6,W 2,McDermott Center
15,Mon Jan 8 2024,8:00p,REG,,Houston Christian,Southland,-19.37,W,81,59,,9,6,W 3,American Bank Center
16,Sat Jan 13 2024,5:00p,REG,@,New Orleans,Southland,-16.80,L,80,83,,9,7,L 1,Kiefer Lakefront Arena
17,Mon Jan 15 2024,7:00p,REG,@,Southeastern Louisiana,Southland,-11.31,W,73,68,,10,7,W 1,
18,Sat Jan 20 2024,4:30p,REG,,Nicholls State,Southland,-7.14,W,69,59,,11,7,W 2,American Bank Center
19,Mon Jan 22 2024,7:00p,REG,,McNeese State,Southland,6.42,L,61,62,,11,8,L 1,American Bank Center
20,Sat Jan 27 2024,4:00p,REG,@,Northwestern State,Southland,-14.42,W,79,68,,12,8,W 1,Prather Coliseum
21,Mon Jan 29 2024,8:00p,REG,@,East Texas A&M,Southland,-14.52,W,69,54,,13,8,W 2,Texas A&M–Commerce Field House
22,Sat Feb 3 2024,4:30p,REG,,Lamar,Southland,-5.47,W,79,71,,14,8,W 3,American Bank Center
23,Sat Feb 10 2024,5:00p,REG,@,McNeese State,Southland,6.42,L,67,74,,14,9,L 1,The Legacy Center
24,Mon Feb 12 2024,7:30p,REG,@,Nicholls State,Southland,-7.14,L,63,67,,14,10,L 2,David Stopher Gymnasium
25,Sat Feb 17 2024,4:30p,REG,,East Texas A&M,Southland,-14.52,W,86,63,,15,10,W 1,American Bank Center
26,Mon Feb 19 2024,8:00p,REG,,Northwestern State,Southland,-14.42,W,72,61,,16,10,W 2,American Bank Center
27,Sat Feb 24 2024,7:00p,REG,@,Lamar,Southland,-5.47,W,75,61,,17,10,W 3,Montagne Center
28,Mon Feb 26 2024,8:00p,REG,@,Houston Christian,Southland,-19.37,W,91,79,,18,10,W 4,Frank and Lucille Sharp Gymnasium
29,Sat Mar 2 2024,4:30p,REG,,Southeastern Louisiana,Southland,-11.31,W,80,68,,19,10,W 5,American Bank Center
30,Mon Mar 4 2024,8:00p,REG,,New Orleans,Southland,-16.80,W,73,60,,20,10,W 6,American Bank Center
31,Wed Mar 6 2024,8:30p,REG,,Incarnate Word,Southland,-16.40,W,71,52,,21,10,W 7,American Bank Center
32,Tue Mar 12 2024,9:00p,CTOURN,N,Nicholls State,Southland,-7.14,L,73,81,OT,21,11,L 1,The Legacy Center
33,Tue Mar 19 2024,9:00p,CIT,N,Abilene Christian,WAC,-4.12,L,63,73,,21,12,L 2,Wisdom Gymnasium
