G,Date,Time,Type,,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena
1,Wed Nov 25 2020,8:30p,REG,,Texas A&M-International,,,W,64,53,,1,0,W 1,American Bank Center
2,Sat Nov 28 2020,3:00p,REG,,Texas State,Sun Belt,-3.85,L,63,75,,1,1,L 1,American Bank Center
3,Mon Nov 30 2020,8:00p,REG,@,Southern Methodist,AAC,10.97,L,54,91,,1,2,L 2,Moody Coliseum
4,Wed Dec 2 2020,8:00p,REG,@,Texas-Rio Grande Valley,WAC,-9.63,L,59,62,,1,3,L 3,Bert Ogden Arena
5,Thu Dec 10 2020,8:00p,REG,,Texas-Rio Grande Valley,WAC,-9.63,L,64,68,,1,4,L 4,American Bank Center
6,Sat Dec 12 2020,2:00p,REG,N,Texas Tech (17),Big 12,16.59,L,57,77,,1,5,L 5,Comerica Center
7,Tue Dec 15 2020,8:00p,REG,@,Texas State,Sun Belt,-3.85,L,46,51,,1,6,L 6,Strahan Coliseum
8,Sat Dec 19 2020,3:00p,REG,,Our Lady of the Lake,,,W,99,72,,2,6,W 1,Dugan Wellness Center
9,Tue Dec 22 2020,3:00p,REG,,Paul Quinn,,,W,59,35,,3,6,W 2,American Bank Center
10,Wed Jan 13 2021,8:00p,REG,@,Southeastern Louisiana,Southland,-17.40,L,63,76,,3,7,L 1,University Center
11,Wed Jan 20 2021,8:00p,REG,@,New Orleans,Southland,-10.91,L,68,87,,3,8,L 2,Kiefer Lakefront Arena
12,Sat Jan 23 2021,3:00p,REG,@,Incarnate Word,Southland,-15.91,L,53,72,,3,9,L 3,McDermott Center
13,Wed Jan 27 2021,8:00p,REG,,Sam Houston,Southland,-3.29,L,70,75,,3,10,L 4,American Bank Center
14,Wed Feb 3 2021,8:00p,REG,,Stephen F. Austin,Southland,-1.63,L,75,84,,3,11,L 5,American Bank Center
15,Sat Feb 6 2021,4:30p,REG,,Incarnate Word,Southland,-15.91,L,53,58,,3,12,L 6,American Bank Center
16,Mon Feb 8 2021,8:00p,REG,,Abilene Christian,Southland,6.27,L,69,82,,3,13,L 7,American Bank Center
17,Wed Feb 10 2021,7:30p,REG,@,Stephen F. Austin,Southland,-1.63,L,68,80,,3,14,L 8,William Johnson Coliseum
18,Sat Feb 13 2021,5:00p,REG,@,Abilene Christian,Southland,6.27,L,55,83,,3,15,L 9,Teague Special Events Center
19,Sat Feb 20 2021,5:00p,REG,,Lamar,Southland,-13.10,W,77,68,,4,15,W 1,American Bank Center
20,Mon Feb 22 2021,7:30p,REG,,Southeastern Louisiana,Southland,-17.40,L,75,78,,4,16,L 1,American Bank Center
21,Wed Feb 24 2021,8:00p,REG,,New Orleans,Southland,-10.91,L,61,69,,4,17,L 2,American Bank Center
22,Mon Mar 1 2021,8:00p,REG,@,Lamar,Southland,-13.10,L,47,66,,4,18,L 3,Montagne Center
23,Wed Mar 3 2021,7:30p,REG,@,Sam Houston,Southland,-3.29,L,61,84,,4,19,L 4,Johnson Coliseum
24,Sat Mar 6 2021,6:00p,REG,@,Houston Christian,Southland,-16.72,W,94,70,,5,19,W 1,Frank and Lucille Sharp Gymnasium
